mem_seq,mem_id,mem_password,mem_google_id,mem_naver_id,mem_type,mem_age,mem_name,mem_wdate,mem_update
1,test1,1234,N,N,1,20,aaa1,2023-05-24,2023-05-24
2,test2,1234,N,N,1,19,aaa2,2023-05-24,2023-05-24
3,test3,1234,N,N,1,21,aaa3,2023-05-24,2023-05-24
4,test4,1234,N,N,1,23,aaa4,2023-05-24,2023-05-24
5,test5,1234,N,N,1,23,aaa5,2023-05-24,2023-05-24
6,test6,1234,N,N,1,25,aaa6,2023-05-24,2023-05-24
7,test7,1234,N,N,1,47,aaa7,2023-05-24,2023-05-24
8,test8,1234,N,N,1,37,aaa8,2023-05-24,2023-05-24
9,test9,1234,N,N,1,28,aaa9,2023-05-24,2023-05-24
10,test10,1234,N,N,1,63,aaa10,2023-05-24,2023-05-24
11,test11,1234,N,N,1,26,aaa11,2023-05-24,2023-05-24
12,test12,1234,N,N,1,64,aaa12,2023-05-24,2023-05-24
13,test13,1234,N,N,1,35,aaa13,2023-05-24,2023-05-24
14,test14,1234,N,N,1,54,aaa14,2023-05-24,2023-05-24
15,test15,1234,N,N,1,26,aaa15,2023-05-24,2023-05-24
16,test16,1234,N,N,1,33,aaa16,2023-05-24,2023-05-24
17,test17,1234,N,N,1,55,aaa17,2023-05-24,2023-05-24
18,test18,1234,N,N,1,44,aaa18,2023-05-24,2023-05-24
19,test19,1234,N,N,1,46,aaa19,2023-05-24,2023-05-24
20,test20,1234,N,N,1,19,aaa20,2023-05-24,2023-05-24
